Product ID,Product Name,Category,Price,Stock Quantity,Quantity Sold,AD TYPES,Ad Duration(Mins),Ad Spend($),Click-Through Rate (CTR)(%),Conversion Rate(%),Customer Rating,Review Count,Discount Offered(%),Sales Channel,Geographic Region,Return Rate(%),Customer Demographics,Time of Purchase,Payment Method
P0159,Product 159,Electronics,212.72,224,784,Search Engine Ads,37,1726.86,0.1628,0.0265,4.6,442,17.59,Retail Store,South America,0.2875,Teenagers,Night,Credit Card
P0160,Product 160,Electronics,366.37,108,372,Social Media Ads,12,3399.85,0.1178,0.0301,3.5,387,18.64,Online,Asia,0.1878,Middle-aged,Morning,Cryptocurrency
P0161,Product 161,Clothing,477.28,210,841,Search Engine Ads,59,4670.31,0.1842,0.0365,3.7,271,27.91,Online,Asia,0.0957,Seniors,Afternoon,PayPal
P0162,Product 162,Beauty,45.56,30,992,Search Engine Ads,14,695.37,0.056,0.0504,2.9,462,11,Online,Europe,0.2041,Seniors,Morning,Cryptocurrency
P0163,Product 163,Beauty,213.78,38,688,Social Media Ads,58,2434.25,0.1852,0.06,4.6,382,3.88,Online,Australia,0.0638,Young Adults,Night,Cryptocurrency
P0164,Product 164,Clothing,318.98,51,435,Search Engine Ads,12,1042.62,0.0548,0.0775,3,171,7.09,Retail Store,North America,0.1011,Middle-aged,Night,Cryptocurrency
P0165,Product 165,Home & Kitchen,211.15,80,153,Search Engine Ads,27,2800.36,0.0206,0.0299,3.8,211,0.92,Retail Store,Europe,0.0105,Teenagers,Evening,Cryptocurrency
P0166,Product 166,Sports,85.3,208,860,Social Media Ads,27,3926.35,0.1739,0.0761,4.7,186,24.9,Online,North America,0.037,Teenagers,Evening,Cryptocurrency
P0167,Product 167,Toys,430.66,404,88,Social Media Ads,24,2222.09,0.0585,0.041,3.5,169,22.56,Online,Europe,0.1032,Middle-aged,Night,PayPal
P0168,Product 168,Home & Kitchen,338.96,313,808,Search Engine Ads,28,3576.86,0.1553,0.0332,4.6,210,19.77,Retail Store,Europe,0.0345,Teenagers,Afternoon,PayPal
P0169,Product 169,Beauty,301.59,394,867,Search Engine Ads,9,4979.76,0.0585,0.0812,3.1,373,21.95,Online,Asia,0.1413,Seniors,Night,PayPal
P0170,Product 170,Electronics,227.7,413,574,Social Media Ads,32,4391.1,0.0516,0.0324,4,277,0.37,Retail Store,Asia,0.0513,Seniors,Night,PayPal
P0171,Product 171,Home & Kitchen,431.81,14,139,Display Ads,57,219.54,0.1359,0.0063,3.6,185,16.56,Retail Store,Europe,0.2342,Young Adults,Morning,Debit Card
P0172,Product 172,Clothing,499.88,91,734,Search Engine Ads,46,2490.77,0.0334,0.0068,2.6,248,18.28,Retail Store,South America,0.0974,Seniors,Morning,Credit Card
P0173,Product 173,Electronics,497.34,394,825,Search Engine Ads,24,2866.81,0.0422,0.0948,4.5,122,16.24,Retail Store,Australia,0.0243,Seniors,Night,PayPal
P0174,Product 174,Beauty,256.27,196,449,Social Media Ads,41,2294.99,0.168,0.0687,3.6,100,10.91,Retail Store,Australia,0.0681,Teenagers,Morning,PayPal
P0175,Product 175,Electronics,225.35,440,119,Display Ads,8,1330.25,0.1116,0.0402,4,401,20.41,Retail Store,Europe,0.2263,Teenagers,Afternoon,PayPal
P0176,Product 176,Electronics,345.22,28,141,Search Engine Ads,59,1905.1,0.1991,0.0809,4.4,19,13.55,Online,Australia,0.2757,Middle-aged,Morning,Debit Card
P0177,Product 177,Home & Kitchen,176.7,405,849,Social Media Ads,17,4365.98,0.1799,0.0906,4.8,44,24.14,Online,Europe,0.1473,Young Adults,Afternoon,PayPal
P0178,Product 178,Sports,175.71,485,903,Social Media Ads,10,1618.51,0.1038,0.0952,3.8,106,18.48,Online,North America,0.2455,Seniors,Night,PayPal
P0179,Product 179,Electronics,105.7,452,747,Search Engine Ads,43,1761.35,0.1958,0.0835,4.8,87,0.6,Online,Australia,0.1383,Seniors,Evening,Credit Card
P0180,Product 180,Clothing,24.88,55,174,Search Engine Ads,53,2632.05,0.057,0.0545,4.2,112,0.68,Online,North America,0.0723,Middle-aged,Afternoon,Credit Card
P0181,Product 181,Beauty,198.8,141,619,Social Media Ads,37,4297.36,0.1718,0.0608,4.2,481,3.88,Retail Store,Australia,0.1782,Middle-aged,Evening,Credit Card
P0182,Product 182,Clothing,227.53,47,74,Display Ads,54,790.88,0.0362,0.0794,2.7,454,8.98,Retail Store,Europe,0.0943,Seniors,Night,PayPal
P0183,Product 183,Beauty,266.75,300,493,Search Engine Ads,19,372.14,0.036,0.0406,4.1,421,25.77,Online,North America,0.1305,Seniors,Morning,Cryptocurrency
P0184,Product 184,Home & Kitchen,386.95,382,313,Search Engine Ads,31,2272.2,0.0875,0.0312,2.9,188,5.65,Retail Store,Europe,0.0328,Middle-aged,Night,PayPal
P0185,Product 185,Clothing,88.14,479,669,Social Media Ads,19,3283.98,0.0898,0.081,3.2,285,18.89,Online,North America,0.0422,Seniors,Night,Debit Card
P0186,Product 186,Clothing,354.27,273,245,Social Media Ads,23,1994.04,0.0159,0.0249,3.9,184,3.52,Retail Store,Europe,0.2994,Middle-aged,Night,PayPal
P0187,Product 187,Electronics,299.28,485,933,Social Media Ads,22,2523.58,0.1457,0.0363,3.8,354,3.07,Retail Store,Europe,0.2111,Teenagers,Afternoon,Credit Card
P0188,Product 188,Clothing,184.1,145,916,Search Engine Ads,10,2699.71,0.133,0.0563,3.1,452,18.82,Online,Europe,0.2188,Teenagers,Night,Cryptocurrency
P0189,Product 189,Electronics,282.18,85,869,Social Media Ads,25,2526.04,0.0744,0.0911,4.7,206,4.57,Online,North America,0.0649,Middle-aged,Night,Cryptocurrency
P0190,Product 190,Toys,390,35,118,Display Ads,25,498.19,0.1912,0.0178,4.4,217,12.75,Retail Store,Asia,0.0859,Young Adults,Afternoon,PayPal
P0191,Product 191,Sports,74.52,449,719,Search Engine Ads,45,1640.43,0.1358,0.0896,3.2,16,5.85,Retail Store,South America,0.1084,Middle-aged,Afternoon,PayPal
P0192,Product 192,Sports,216.92,454,124,Display Ads,56,4403.81,0.1374,0.0129,2.9,301,17.18,Retail Store,North America,0.017,Teenagers,Night,PayPal
P0193,Product 193,Electronics,355.98,108,653,Search Engine Ads,7,1578.01,0.1263,0.0712,3,56,3.63,Online,North America,0.1348,Teenagers,Night,Cryptocurrency
P0194,Product 194,Toys,344.62,172,395,Social Media Ads,54,3011.28,0.0935,0.0796,4.1,70,27.02,Online,North America,0.2284,Middle-aged,Evening,PayPal
P0195,Product 195,Toys,412.83,106,121,Display Ads,49,3048.88,0.1432,0.0844,4.8,149,28.97,Retail Store,Europe,0.1835,Seniors,Evening,Cryptocurrency
P0196,Product 196,Electronics,152.14,118,131,Display Ads,13,1402.22,0.0784,0.0735,4,231,18.67,Online,Asia,0.1789,Young Adults,Afternoon,Cryptocurrency
P0197,Product 197,Electronics,373.21,209,690,Social Media Ads,20,1930.86,0.1444,0.0885,2.9,24,16.33,Online,North America,0.063,Seniors,Evening,Debit Card
P0198,Product 198,Home & Kitchen,11.11,418,562,Search Engine Ads,21,3788.31,0.167,0.0523,4.7,500,15.22,Online,North America,0.1719,Seniors,Afternoon,Debit Card
P0199,Product 199,Home & Kitchen,485.55,232,145,Search Engine Ads,50,1452.59,0.0354,0.0405,4.1,48,18.35,Retail Store,Europe,0.1014,Young Adults,Morning,Debit Card
P0200,Product 200,Electronics,295.27,105,609,Search Engine Ads,25,2330.11,0.1199,0.0065,3.6,240,2.19,Retail Store,Asia,0.2385,Young Adults,Night,Credit Card
